No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4
43.0,0.07,6.3,184.0,0.88,0.5,0.58,33.0,1,1.2,1.7,2,0.59,0.53,0.52,0.5
44.0,0.07,3.1,184.0,1.5,5.0,3.89,33.0,2,2.3,3,3.2,3.73,3.72,3.53,3.55
45.0,0.07,1.4,184.0,2.87,20.0,13.67,33.0,3,4,4.4,5,13.77,13.28,13.22,13.41
46.0,0.06,9.1,172.0,0.79,0.5,0.8,35.0,1,1.3,1.7,2,0.69,0.69,0.64,0.64
47.0,0.06,6.7,172.0,0.6,5.0,5.04,35.0,1,2,2.7,3,4.99,4.67,4.6,4.36
48.0,0.06,4.6,172.0,2.37,20.0,16.38,35.0,3,4,4.5,5,15.43,14.51,14.14,13.39
49.0,0.06,5.3,172.0,1.46,5.0,4.68,35.0,2,2.7,3,-,4.19,4.05,4.08,-
50.0,0.06,2.1,172.0,4.16,20.0,15.04,35.0,4.5,5,-,-,14.86,14.69,-,-
51.0,0.06,10.6,172.0,1.26,0.5,0.94,35.0,1.7,2,-,-,0.79,0.78,-,-
52.0,0.06,3.1,172.0,3.13,20.0,15.58,35.0,4,4.4,5,-,14.89,14.84,14.65,-
53.0,0.07,7.8,172.0,1.15,0.5,0.71,35.0,1.7,2,-,-,0.65,0.65,-,-
54.0,0.07,5.3,172.0,0.35,5.0,4.68,35.0,1,2,2.7,3,4.34,4.33,4.11,4.04
55.0,0.07,4.3,172.0,0.63,20.0,16.18,35.0,2,4,4.4,5,14.84,14.44,14.39,13.79
56.0,0.06,9.9,172.0,0.45,0.5,0.87,35.0,1,1.7,2,-,0.71,0.64,0.56,-
57.0,0.06,7.8,172.0,0.58,5.0,5.35,35.0,1,2,2.7,3,4.98,4.46,4.17,4.07
58.0,0.06,4.4,172.0,0.94,20.0,16.28,35.0,2,4,4.5,5,15.01,13.96,13.71,13.06
59.0,0.07,10.9,175.0,0.13,0.5,0.97,35.0,1,1.7,2,-,0.8,0.82,0.79,-
60.0,0.07,7.3,175.0,2.38,5.0,5.22,35.0,2.7,3,-,-,4.93,4.75,-,-
61.0,0.07,5.6,175.0,2.68,20.0,16.95,35.0,3,4,4.5,5,16.44,15.61,15.4,14.7
62.0,0.06,11.8,268.7,0.71,0.5,1.14,34.0,1,1.8,2,-,1.04,0.91,0.79,-
63.0,0.06,6.5,268.7,0.76,5.0,5.03,34.0,1,2,2.8,3,4.92,4.7,4.56,4.54
64.0,0.06,3.9,268.7,2.73,20.0,15.88,34.0,3,4,4.5,5,15.2,13.68,13.63,13.37
65.0,0.06,13.4,268.7,0.63,0.5,1.42,34.0,1,1.7,2,-,1.14,0.93,0.85,-
66.0,0.06,6.4,268.7,0.34,5.0,5.0,34.0,1,2,2.7,3,4.33,4.12,4.23,4.28
67.0,0.06,2.4,268.7,3.13,20.0,14.91,34.0,4,4.6,5,-,14.73,14.59,14.47,-
68.0,0.06,8.4,250.0,0.49,0.5,0.79,35.0,1,1.7,2,-,0.61,0.65,0.63,-
69.0,0.06,6.0,250.0,1.69,5.0,5.04,35.0,2,2.7,3,-,4.54,4.41,4.33,-
70.0,0.06,3.9,250.0,3.12,20.0,16.37,35.0,4,4.4,5,-,15.37,15.15,14.97,-
71.0,0.05,9.3,250.0,0.18,0.5,0.87,35.0,1,1.7,2,-,0.61,0.61,0.58,-
72.0,0.05,6.2,250.0,0.42,5.0,5.1,35.0,1,2,2.7,3,4.5,3.88,3.66,3.49
73.0,0.05,2.0,250.0,1.09,20.0,15.19,35.0,2,4,4.4,5,14.11,13.3,12.97,12.83
74.0,0.05,6.6,250.0,0.47,0.5,0.66,35.0,1,1.7,2,-,0.58,0.5,0.44,-
75.0,0.05,3.1,250.0,0.57,5.0,4.24,35.0,1,2,2.7,3,3.92,3.95,4.1,4.08
76.0,0.05,1.5,250.0,4.13,20.0,14.9,35.0,4.4,5,-,-,13.3,13.27,-,-
77.0,0.05,9.4,250.0,0.18,0.5,0.88,35.0,1,1.7,2,-,0.53,0.52,0.44,-
78.0,0.05,3.6,250.0,1.25,5.0,4.37,35.0,2,2.7,3,-,3.84,3.76,3.71,-
79.0,0.05,1.1,250.0,3.62,20.0,14.62,35.0,4,4.5,5,-,13.76,14,13.77,-
80.0,0.06,13.4,185.0,0.11,0.5,1.04,30.0,1,1.69,2,-,0.57,0.49,0.442,-
81.0,0.06,8.8,185.0,0.23,5.0,4.79,30.0,1,2,2.71,3,3.981,3.48,3.36,3.374
82.0,0.06,5.4,185.0,0.39,20.0,14.13,30.0,2,4,4.71,5,13.62,12.93,12.72,12.45
83.0,0.06,10.2,185.0,0.21,0.5,0.75,30.0,1,1.67,2,,0.5,0.53,0.439,
84.0,0.06,7.8,185.0,1.52,5.0,4.53,30.0,2,2.38,-,-,3.91,4.05,-,-
85.0,0.06,7.5,185.0,0.46,20.0,15.2,30.0,2,4,4.44,5,14.37,13.83,13.9,13.67
86.0,0.06,5.2,185.0,1.14,0.5,0.47,30.0,1.7,2,-,-,0.45,0.441,-,-
87.0,0.06,4.8,185.0,1.53,5.0,3.84,30.0,1,2.87,3,,3.7,3.5,3.564,-
88.0,0.06,5.5,185.0,5.05,20.0,14.16,30.0,5.1,-,-,-,14.16,-,-,-
89.0,0.06,8.6,185.0,0.31,0.5,0.64,30.0,1,1.72,2,-,0.441,0.42,0.441,-
90.0,0.06,5.9,185.0,0.44,5.0,4.09,30.0,1,2,3.01,-,3.92,3.904,3.82,-
91.0,0.06,5.9,185.0,2.56,20.0,14.35,30.0,3,4,4.5,5,13.99,13.64,13.65,13.5
92.0,0.06,11.4,185.0,0.1,0.5,0.84,30.0,1,1.7,2,,0.592,0.59,0.554,
93.0,0.06,8.5,185.0,0.29,5.0,4.72,30.0,1,2,2.7,3,4.319,4.276,4.38,4.281
94.0,0.06,9.5,185.0,2.24,20.0,16.29,30.0,3,4,4.5,5,15.49,15.11,15.22,14.92
95.0,0.07,13.4,185.0,0.15,0.5,1.04,30.0,1,1.7,2,,0.554,0.5,0.491,
96.0,0.07,12.1,185.0,0.32,5.0,5.75,30.0,1,2,2.9,3,4.391,4.278,3.8,3.574
97.0,0.07,10.6,185.0,0.98,20.0,16.9,30.0,2,4,4.7,5,15.28,13.59,13.02,12.73
98.0,0.05,15.5,230.0,0.12,0.5,1.33,29.0,1,1.7,2,,0.608,0.57,0.529,
99.0,0.05,11.2,230.0,0.38,5.0,5.29,29.0,1,2,2.71,3,4.13,3.81,3.79,3.492
100.0,0.05,9.5,230.0,1.12,20.0,15.69,29.0,2,4,4.46,5,14.29,14.34,14.37,13.81
101.0,0.05,14.7,230.0,0.11,0.5,1.19,29.0,1,1.68,2,,0.608,0.51,0.423,
102.0,0.05,11.5,230.0,0.33,5.0,5.38,29.0,1,2,2.7,3,4.34,4.021,4.07,4.18
103.0,0.05,8.7,230.0,0.94,20.0,15.17,29.0,4,5,4.45,5,14.29,13.81,14.33,14.5
104.0,0.06,7.8,230.0,0.46,0.5,0.57,29.0,1,1.83,2,,0.423,0.4,0.423,
105.0,0.06,2.9,230.0,0.38,5.0,3.22,29.0,1,2,2.69,3,2.99,2.778,2.75,2.752
106.0,0.06,0.9,230.0,6.69,20.0,11.06,29.0,7,-,-,-,11.03,-,-,-
107.0,0.06,12.2,230.0,0.15,0.5,0.88,29.0,1,1.67,2,,0.555,0.5,0.476,
108.0,0.06,10.6,230.0,0.24,5.0,5.1,29.0,1,2,2.7,3,4.18,3.81,3.47,3.333
109.0,0.06,8.1,230.0,0.47,20.0,14.84,29.0,2,4,4.43,5,13.86,12.92,13.16,13.2
110.0,0.07,14.2,230.0,0.15,0.5,1.23,29.0,1,2,2.67,3,0.53,0.68,0.67,0.61
111.0,0.07,12.8,230.0,0.25,5.0,6.22,29.0,1,2,2.66,3,4.59,5.06,4.51,4.03
112.0,0.07,11.8,230.0,0.46,20.0,18.37,29.0,3,4,4.43,5,16.55,16.13,16.6,15.73
113.0,0.06,9.5,230.0,0.21,0.5,0.72,29.0,1,1.68,2,,0.6,0.52,0.48,
114.0,0.06,7.4,230.0,0.46,5.0,4.54,29.0,1,2,2.86,3,4.18,3.86,3.52,3.46
115.0,0.06,5.2,230.0,3.02,20.0,14.29,29.0,4,5.52,5,-,13.22,13.4,13.06,-
116.0,0.06,13.8,230.0,0.1,0.5,1.16,29.0,1,1.66,2,-,0.596,0.55,0.546,-
117.0,0.06,9.0,230.0,0.28,5.0,4.98,29.0,1,2,2.64,3,4.159,3.816,3.66,3.6
118.0,0.06,6.2,230.0,0.84,20.0,14.83,29.0,2,4,4.52,5,13.44,12.05,13.69,12.75
119.0,0.06,13.0,230.0,0.05,0.5,1.06,29.0,1,1.66,2,,0.503,0.48,0.398,
120.0,0.06,10.2,230.0,0.24,5.0,5.34,29.0,1,2,2.67,3,3.941,3.55,3.52,3.525
121.0,0.06,7.7,230.0,0.58,20.0,15.72,29.0,2,4,4.39,5,13.18,12.26,12.92,11.72
122.0,0.06,15.8,173.0,0.16,0.5,1.46,31.0,1,2,2.36,-,0.596,0.47,0.48,-
123.0,0.06,12.0,173.0,0.34,5.0,5.86,31.0,1,2,2.76,3,4.212,3.755,3.47,3.378
124.0,0.06,6.7,173.0,0.72,20.0,15.23,31.0,2,4,4.61,5,13.63,13.14,13,13.02
125.0,0.05,11.0,173.0,0.13,0.5,0.83,31.0,1,1.73,2,,0.545,0.53,0.52,
126.0,0.05,8.8,173.0,0.33,5.0,4.91,31.0,1,2,2.78,3,4.465,4.389,4.11,4.082
127.0,0.05,8.9,173.0,2.99,20.0,16.39,31.0,4,4.54,5,-,15.18,15.18,14.41,-
128.0,0.05,15.4,173.0,0.22,0.5,1.38,31.0,1,1.7,2,-,0.697,0.68,0.66,-
129.0,0.05,12.8,173.0,0.39,5.0,6.11,31.0,1,2,2.72,3,5.366,4.503,4.38,4.123
130.0,0.05,10.3,173.0,2.78,20.0,17.18,31.0,3,4,4.52,5,16.55,15.79,14.95,14.98
131.0,0.06,9.1,173.0,0.3,0.5,0.69,31.0,1,1.71,2,,0.457,0.42,0.444,-
132.0,0.06,7.6,173.0,0.38,5.0,4.61,31.0,1,2,2.81,3,3.679,3.514,3.34,3.438
133.0,0.06,4.8,173.0,0.58,20.0,14.25,31.0,2,4,4.56,5,13.31,12.32,12.79,12.42
134.0,0.06,10.8,173.0,0.29,0.5,0.81,31.0,1,1.78,2,-,0.672,0.71,0.672,-
135.0,0.06,8.1,173.0,0.42,5.0,4.74,31.0,1,2,2.77,3,4.567,4.541,3.98,3.932
136.0,0.06,7.0,173.0,2.48,20.0,15.4,31.0,3,4,4.72,5,14.55,14.07,14.04,14.1
137.0,0.05,6.6,158.0,1.18,0.5,0.63,34.0,1.7,2,-,-,0.58,0.57,-,-
138.0,0.05,7.1,158.0,0.99,5.0,4.93,34.0,2,2.81,3,-,4.61,4.49,4.39,-
139.0,0.05,7.3,158.0,1.92,20.0,17.14,34.0,3,4,4.85,5,16.7,16.56,16.57,16.41
140.0,0.06,10.0,158.0,0.42,0.5,0.83,34.0,1,2,2.22,-,0.69,0.57,0.55,0
141.0,0.06,4.1,158.0,1.23,5.0,4.22,34.0,2,2.72,3,-,4.12,4.02,3.94,-
142.0,0.06,3.2,158.0,1.79,20.0,15.01,34.0,3,5,5.36,6,14.59,15.77,14.8,14.45
143.0,0.06,6.1,158.0,0.33,0.5,0.58,34.0,1,1.72,2,-,0.5,0.49,0.44,-
144.0,0.06,5.5,158.0,0.43,5.0,4.53,34.0,1,2,2.69,3,4.15,3.83,3.81,3.8
145.0,0.06,2.7,158.0,3.33,20.0,14.77,34.0,4,4.49,5,-,14.58,14.2,13.7,-
146.0,0.06,7.9,158.0,0.13,0.5,0.68,34.0,1,1.68,2,-,0.57,0.57,0.55,-
147.0,0.06,4.9,158.0,1.84,5.0,4.39,34.0,2,3,3.71,4,4.19,3.58,3.46,3.53
148.0,0.06,4.2,158.0,2.23,20.0,15.49,34.0,3,4,5,5.51,14.7,14.9,14.91,14.99
149.0,0.06,11.4,158.0,0.18,0.5,0.96,34.0,1,1.68,2,-,0.64,0.55,0.44,-
150.0,0.06,8.4,158.0,0.4,5.0,5.29,34.0,1,2,2.7,3,4.7,4.37,3.98,3.95
151.0,0.06,4.9,158.0,0.99,20.0,15.85,34.0,2,3,4.45,5,15.69,15.09,14.62,14.46
152.0,0.05,7.2,158.0,1.16,0.5,0.64,34.0,1.8,2,-,-,0.55,0.53,-,-
153.0,0.05,4.0,158.0,1.3,5.0,4.2,34.0,2,2.7,3,-,4.01,3.89,3.9,-
154.0,0.05,1.7,158.0,5.1,20.0,14.28,34.0,-,-,-,-,-,-,-,-
155.0,0.06,6.1,158.0,0.56,0.5,0.58,34.0,1,1.68,2,-,0.5,0.49,0.44,-
156.0,0.06,3.4,158.0,0.67,5.0,4.06,34.0,1,2,2.71,3,3.95,3.87,3.64,3.52
157.0,0.06,1.9,158.0,1.32,20.0,14.36,34.0,2,4,4.6,5,13.69,13.56,13.63,13.49
158.0,0.06,12.7,176.0,0.17,0.5,1.0,31.0,1,1.87,2,-,0.635,0.56,0.521,-
159.0,0.06,9.3,176.0,0.32,5.0,5.06,31.0,1,2,2.73,3,4.53,4.08,4.01,3.859
160.0,0.06,4.9,176.0,1.07,20.0,14.3,31.0,2,4,4.58,5,14.13,12.66,12.72,12.5
161.0,0.06,9.4,206.0,0.1,0.5,0.85,35.0,1,1.7,2,-,0.647,0.56,0.546,-
162.0,0.06,9.7,206.0,0.24,5.0,6.09,35.0,1,2,2.7,3,4.494,4.443,4.37,4.329
163.0,0.06,5.1,206.0,0.5,20.0,16.89,35.0,2,4,4.45,5,15.73,15.26,15.01,14.93
164.0,0.06,9.4,206.0,0.07,0.5,0.85,35.0,1,1.67,2,-,0.647,0.56,0.546,-
165.0,0.06,9.0,206.0,0.23,5.0,5.85,35.0,1,2,2.67,3,4.722,4.595,4.25,4.164
166.0,0.06,5.1,206.0,0.75,20.0,16.87,35.0,2,4,4.45,5,16.54,15.53,15.63,15.48
167.0,0.06,8.8,206.0,0.17,0.5,0.8,35.0,1,1.68,2,-,0.571,0.57,0.533,-
168.0,0.06,4.8,206.0,1.11,5.0,4.61,35.0,2,2.69,3,-,4.329,4.26,4.291,-
169.0,0.06,4.6,206.0,3.93,20.0,16.61,35.0,4,4.66,5,-,16.52,16.5,16.52,-
170.0,0.05,8.3,206.0,0.19,0.5,0.76,35.0,1,1.66,2,-,0.609,0.54,0.482,-
171.0,0.05,5.2,206.0,0.32,5.0,4.74,35.0,1,2,2.68,3,4.265,3.986,4,3.935
172.0,0.05,3.2,206.0,1.88,20.0,15.76,35.0,3,4,4.52,5,15.44,15.03,14.79,14.29
173.0,0.06,8.9,206.0,0.23,0.5,0.81,35.0,1,1.7,2,-,0.597,0.58,0.571,-
174.0,0.06,6.8,206.0,0.27,5.0,5.18,35.0,1,2,2.72,3,4.519,4.443,4.47,4.38
175.0,0.06,5.8,206.0,1.85,20.0,17.29,35.0,3,4,4.45,5,16.85,16.49,16.24,16.07
176.0,0.06,5.8,20.23,0.65,0.5,0.57,34.0,1,1.73,2,-,0.52,0.47,0.444,-
177.0,0.06,2.3,20.23,1.47,5.0,3.8,34.0,2,2.9,3,-,3.654,3.59,3.604,-
178.0,0.06,0.9,20.23,2.12,20.0,13.69,34.0,3,4,4.63,5,13.46,12.95,12.7,12.75
179.0,0.06,10.3,20.23,0.48,0.5,0.88,34.0,1,1.7,2,-,0.647,0.66,0.609,-
180.0,0.06,9.0,20.23,0.52,5.0,5.54,34.0,1,3,3.69,4,5.278,4.694,4.47,4.466
181.0,0.06,8.2,20.23,0.9,20.0,17.84,34.0,2,4,4.7,5,16.18,14.88,14.36,14.34
182.0,0.05,7.4,20.23,0.22,0.5,0.66,34.0,1,1.98,-,-,0.295,0.62,-,-
183.0,0.05,4.1,20.23,1.93,5.0,4.22,34.0,3,3.2,-,-,4.009,4.02,-,-
184.0,0.05,3.6,20.23,3.98,20.0,15.12,34.0,4.5,5,-,-,14.99,14.71,-,-
185.0,0.05,12.2,20.23,0.13,0.5,1.09,34.0,1,1.7,2,-,0.66,0.53,0.444,-
186.0,0.05,7.7,20.23,0.28,5.0,5.16,34.0,1,2,2.71,3,4.225,3.844,3.61,3.578
187.0,0.05,5.3,20.23,0.7,20.0,16.09,34.0,2,4,4.52,5,13.94,11.1,10.9,10.9
188.0,0.06,7.1,20.23,1.1,0.5,0.64,34.0,1.9,2.22,-,-,0.59,0.596,-,-
189.0,0.06,6.4,20.23,3.11,5.0,4.79,34.0,3.7,4,-,-,4.48,4.377,-,-
190.0,0.06,7.8,20.23,2.95,20.0,17.57,34.0,4,4.95,5.55,-,15.78,15.48,15.72,-
191.0,0.05,12.7,20.23,0.1,0.5,1.15,34.0,1,1.92,2,-,0.634,0.58,0.533,-
192.0,0.05,7.4,20.23,0.26,5.0,5.06,34.0,1,2,3.18,-,4.352,3.743,3.05,0
193.0,0.05,4.8,20.23,0.48,20.0,15.79,34.0,2,4,4.64,5,12.97,12.6,12.18,11.94
194.0,0.06,10.5,20.23,0.47,0.5,0.9,34.0,1,1.68,2,-,0.749,0.63,0.596,-
195.0,0.06,9.8,20.23,0.49,5.0,5.79,34.0,1,2,2.75,3,5.189,4.223,3.86,3.73
196.0,0.06,7.7,20.23,1.09,20.0,17.51,34.0,2,4,4.44,5,16.63,13.97,14.24,14.91
197.0,0.06,11.4,20.23,0.14,0.5,0.99,34.0,1,2,2.48,2.81,0.787,0.647,0.58,0.609
198.0,0.06,8.7,20.23,0.4,5.0,5.46,34.0,1,3,3.65,4,5.188,4.365,4.18,4.06
199.0,0.06,7.3,20.23,2.66,20.0,17.29,34.0,3,4,4.96,5.53,17.1,16.66,16.15,16.05
200.0,0.06,4.6,20.23,1.09,0.5,0.51,34.0,1.7,2,-,-,0.46,0.444,-,-
201.0,0.06,2.0,20.23,4.54,5.0,3.73,34.0,-,-,-,-,-,-,-,-
202.0,0.06,0.8,20.23,5.68,20.0,13.66,34.0,6,-,-,-,,13.51,-,-
203.0,0.15,11.0,75.0,8.16,0.4,0.64,34.0,10,15,20,-,0.562,0.454,0.432,-
204.0,0.15,11.0,75.0,9.63,0.8,1.15,34.0,10,15,20,-,1.119,0.88,0.78,-
205.0,0.15,11.0,75.0,8.17,1.2,1.67,34.0,10,15,20,-,1.492,1.416,1.265,-
206.0,0.15,11.0,75.0,7.68,1.8,2.36,34.0,10,15,20,-,2.189,2.005,1.789,-
207.0,0.15,11.0,75.0,12.65,2.4,2.87,34.0,15,20,-,-,2.47,2.486,-,-
208.0,0.09,6.5,2.0,0.47,0.01,0.0113,32.0,2,3,4,6,0.012,0.012,0.012,0.011
209.0,0.09,7.5,2.0,0.55,0.01,0.015,32.0,2,3,4,6,0.015,0.015,0.014,0.012
210.0,0.09,10.6,2.0,0.73,0.01,0.017,32.0,2,3,4,6,0.017,0.016,0.015,0.014
211.0,0.09,16.6,2.0,0.73,0.01,0.031,32.0,2,3,4,6,0.024,0.022,0.019,0.017
212.0,0.09,6.5,2.0,0.56,0.034,0.032,32.0,2,3,5,7,0.033,0.031,0.03,0.028
213.0,0.09,7.5,2.0,0.61,0.034,0.036,32.0,2,3,5,7,0.035,0.034,0.031,0.028
214.0,0.09,10.6,2.0,0.8,0.034,0.041,32.0,2,3,5,7,0.04,0.038,0.035,0.033
215.0,0.09,16.6,2.0,0.85,0.034,0.053,32.0,2,3,5,7,0.045,0.043,0.04,0.037
216.0,0.09,6.5,2.0,1.18,0.09,0.072,32.0,2,4,6,7,0.071,0.069,0.068,0.067
217.0,0.09,7.5,2.0,1.07,0.09,0.082,32.0,2,4,6,7,0.079,0.075,0.072,0.071
218.0,0.09,10.6,2.0,0.99,0.09,0.091,32.0,2,4,6,7,0.088,0.083,0.078,0.077
219.0,0.09,16.6,2.0,1.33,0.09,0.123,32.0,2,4,6,7,0.119,0.11,0.105,0.102
220.0,0.06,17.5,2000.0,0.57,0.0245,0.057,32.0,2,3,4,-,0.048,0.045,0.042,-
221.0,0.12,14.2,1375.5,0.74,0.0245,0.052,32.0,2,3,4,-,0.046,0.042,0.04,-
222.0,0.18,12.6,1105.1,1.17,0.0245,0.042,32.0,2,3,4,6,0.039,0.039,0.036,0.034
223.0,0.36,10.2,760.03,2.7,0.0245,0.036,32.0,3,4,6,-,0.036,0.036,0.035,-
224.0,0.06,17.5,2.0,0.75,0.0245,0.022,32.0,2,3,4,5,0.022,0.021,0.021,0.021
225.0,0.12,14.2,1.799,1.15,0.0245,0.021,32.0,2,3,4,5,0.02,0.02,0.02,0.02
226.0,0.18,12.6,1.691,1.1,0.0245,0.02,32.0,2,3,4,5,0.02,0.019,0.019,0.019
227.0,0.36,10.2,1.521,1.25,0.0245,0.019,32.0,2,3,4,5,0.019,0.019,0.018,0.019
228.0,0.05,18.5,2.0,0.7,24.5,0.059,32.0,2,3,4,-,0.05,0.045,0.042,-
229.0,0.1,15.0,1.361,0.8,24.5,0.039,32.0,2,3,4,6,0.041,0.038,0.037,0.035
230.0,0.2,12.2,0.927,1.1,24.5,0.031,32.0,2,3,4,6,0.031,0.03,0.03,0.03
231.0,0.4,9.9,0.631,1.9,24.5,0.025,32.0,2,3,4,6,0.026,0.026,0.026,0.026
232.0,0.1,8.7,8.5,0.6,100.0,0.103,35.0,2,3,4,-,0.112,0.118,0.121,-
233.0,0.1,8.7,8.5,1.16,300.0,0.413,35.0,2,3,4,-,0.434,0.43,0.423,-
234.0,0.1,8.7,8.5,0.99,500.0,0.523,35.0,2,3,4,-,0.5,0.478,0.463,-
235.0,0.1,8.7,8.5,1.49,1000.0,0.929,35.0,2,3,4,-,0.898,0.861,0.851,-
236.0,0.1,8.7,8.5,2.48,1500.0,1.278,35.0,3,4,-,-,1.257,1.192,-,-
237.0,0.1,15.8,8.5,0.84,100.0,0.191,35.0,2,3,-,-,0.21,0.21,-,-
238.0,0.1,15.8,8.5,1.16,300.0,0.606,35.0,2,3,4,-,0.57,0.52,0.5,-
239.0,0.1,15.8,8.5,2.0,500.0,0.785,35.0,3,4,-,-,0.76,0.73,-,-
240.0,0.1,15.8,8.5,1.84,1000.0,1.067,35.0,2,3,4,-,1.04,0.92,0.82,-
241.0,0.1,15.8,8.5,2.5,1500.0,1.53,35.0,3,4,-,-,1.48,1.39,-,-
242.0,0.14,14.6,27.6,1.28,276.0,0.381,32.0,13,-,-,-,0.236,-,-,-
243.0,0.14,14.6,27.6,1.94,1380.0,1.479,32.0,13,-,-,-,1.139,-,-,-
244.0,0.14,14.6,27.6,2.29,2755.0,30.401,32.0,13,-,-,-,2.493,-,-,-
245.0,0.14,14.6,27.6,3.95,5516.0,5.488,32.0,13,-,-,-,4.171,-,-,-
