methodologie,dataset,target,target_label,feature,feature_label,pearson_r,abs_pearson_r,output_file
methodologie_1,FULL,d_csds,d,tau_p_x_tau_r,$\tau_p \tau_r$,0.3411364858386535,0.3411364858386535,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_tau_p_x_tau_r.png
methodologie_1,LOW_2,d_csds,d,u_p_div_tau_p,$u_p/\tau_p$,0.3338441332737842,0.3338441332737842,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_u_p_div_tau_p.png
methodologie_1,FULL,d_csds,d,tau_r_MPa,$\tau_r$ (MPa),0.3312037446423604,0.3312037446423604,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_tau_r_MPa.png
methodologie_1,FULL,d_csds,d,tau_p_div_u_r,$\tau_p/u_r$,0.3083725713596704,0.3083725713596704,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_tau_p_div_u_r.png
methodologie_1,HIGH,d_csds,d,delta_peak_mm,$u_p$ (mm),0.30758633095085025,0.30758633095085025,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_delta_peak_mm.png
methodologie_1,HIGH,d_csds,d,u_p_x_tau_r,$u_p \tau_r$,0.26929199369427476,0.26929199369427476,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_u_p_x_tau_r.png
methodologie_1,FULL,d_csds,d,delta_peak_mm,$u_p$ (mm),0.26871331983567043,0.26871331983567043,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_delta_peak_mm.png
methodologie_1,HIGH,d_csds,d,u_p_div_tau_p,$u_p/\tau_p$,0.20535587784391324,0.20535587784391324,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_u_p_div_tau_p.png
methodologie_1,LOW_2,d_csds,d,tau_r_MPa,$\tau_r$ (MPa),0.1941591286454893,0.1941591286454893,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_tau_r_MPa.png
methodologie_1,LOW_1,d_csds,d,u_r_div_tau_r,$u_r/\tau_r$,-0.18652282307128898,0.18652282307128898,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_u_r_div_tau_r.png
methodologie_1,LOW_1,d_csds,d,u_p_div_tau_p,$u_p/\tau_p$,-0.18619712513947373,0.18619712513947373,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_u_p_div_tau_p.png
methodologie_1,LOW_2,d_csds,d,tau_r_div_tau_p,$\tau_r/\tau_p$,0.18547589761869746,0.18547589761869746,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_tau_r_div_tau_p.png
methodologie_1,HIGH,d_csds,d,tau_r_div_tau_p,$\tau_r/\tau_p$,-0.1439818953356695,0.1439818953356695,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_tau_r_div_tau_p.png
methodologie_1,HIGH,d_csds,d,tau_peak_MPa_csds,$\tau_p$ (MPa),0.1422882409920954,0.1422882409920954,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_tau_peak_MPa_csds.png
methodologie_1,LOW_2,d_csds,d,tau_p_x_tau_r,$\tau_p \tau_r$,0.1321654903153999,0.1321654903153999,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_tau_p_x_tau_r.png
methodologie_1,LOW_1,d_csds,d,tau_p_div_u_r,$\tau_p/u_r$,0.11838409667306185,0.11838409667306185,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_tau_p_div_u_r.png
methodologie_1,LOW_1,d_csds,d,tau_r_div_tau_p,$\tau_r/\tau_p$,0.11729726189117334,0.11729726189117334,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_tau_r_div_tau_p.png
methodologie_1,FULL,d_csds,d,u_p_div_tau_p,$u_p/\tau_p$,-0.11702618353645936,0.11702618353645936,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_u_p_div_tau_p.png
methodologie_1,LOW_2,d_csds,d,u_r_div_tau_r,$u_r/\tau_r$,-0.11036175872432019,0.11036175872432019,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_u_r_div_tau_r.png
methodologie_1,FULL,d_csds,d,u_r_div_tau_r,$u_r/\tau_r$,-0.10644463832778758,0.10644463832778758,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_u_r_div_tau_r.png
methodologie_1,FULL,d_csds,d,tau_r_div_tau_p,$\tau_r/\tau_p$,0.09278162250750838,0.09278162250750838,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_tau_r_div_tau_p.png
methodologie_1,LOW_2,d_csds,d,tau_p_div_u_r,$\tau_p/u_r$,-0.06251155302444042,0.06251155302444042,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_tau_p_div_u_r.png
methodologie_1,HIGH,d_csds,d,tau_r_MPa,$\tau_r$ (MPa),-0.06077434476511364,0.06077434476511364,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_tau_r_MPa.png
methodologie_1,HIGH,d_csds,d,tau_p_div_u_r,$\tau_p/u_r$,0.033146996712400435,0.033146996712400435,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_tau_p_div_u_r.png
methodologie_1,HIGH,d_csds,d,u_r_div_tau_r,$u_r/\tau_r$,0.02701900661043641,0.02701900661043641,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_u_r_div_tau_r.png
methodologie_1,LOW_2,d_csds,d,tau_peak_MPa_csds,$\tau_p$ (MPa),0.01123629666456891,0.01123629666456891,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_tau_peak_MPa_csds.png
methodologie_1,HIGH,d_csds,d,tau_p_x_tau_r,$\tau_p \tau_r$,0.0023311496496013235,0.0023311496496013235,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_tau_p_x_tau_r.png
methodologie_2,LOW_2,e_csds,e,tau_r_div_u_p,$\tau_r/u_p$,0.9726211367917179,0.9726211367917179,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_tau_r_div_u_p.png
methodologie_2,HIGH,e_csds,e,tau_r_div_u_p,$\tau_r/u_p$,0.9533694566617233,0.9533694566617233,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_tau_r_div_u_p.png
methodologie_2,LOW_2,e_csds,e,tau_p_div_u_p,$\tau_p/u_p$,0.9295246535359913,0.9295246535359913,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_tau_p_div_u_p.png
methodologie_2,HIGH,e_csds,e,tau_p_div_u_p,$\tau_p/u_p$,0.8884824838589401,0.8884824838589401,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_tau_p_div_u_p.png
methodologie_2,LOW_2,e_csds,e,delta_peak_mm,$u_p$ (mm),-0.7370203361984634,0.7370203361984634,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_delta_peak_mm.png
methodologie_2,LOW_1,e_csds,e,tau_p_div_u_p,$\tau_p/u_p$,0.7291058624986686,0.7291058624986686,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_tau_p_div_u_p.png
methodologie_2,LOW_1,e_csds,e,tau_r_div_u_p,$\tau_r/u_p$,0.724172520457909,0.724172520457909,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_tau_r_div_u_p.png
methodologie_2,LOW_2,e_csds,e,tau_p_div_u_r,$\tau_p/u_r$,0.7120204549787512,0.7120204549787512,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_tau_p_div_u_r.png
methodologie_2,HIGH,e_csds,e,delta_peak_mm,$u_p$ (mm),-0.7094611155307309,0.7094611155307309,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_delta_peak_mm.png
methodologie_2,HIGH,e_csds,e,u_r_div_u_p,$u_r/u_p$,0.6868761535125467,0.6868761535125467,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_u_r_div_u_p.png
methodologie_2,LOW_2,e_csds,e,u_r_div_u_p,$u_r/u_p$,0.6626149020557149,0.6626149020557149,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_u_r_div_u_p.png
methodologie_2,HIGH,e_csds,e,u_p_div_u_r,$u_p/u_r$,-0.6532566080194336,0.6532566080194336,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_u_p_div_u_r.png
methodologie_2,LOW_2,e_csds,e,u_p_div_u_r,$u_p/u_r$,-0.5967763234848731,0.5967763234848731,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_u_p_div_u_r.png
methodologie_2,FULL,e_csds,e,u_r_div_u_p,$u_r/u_p$,0.525546949677847,0.525546949677847,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_u_r_div_u_p.png
methodologie_2,LOW_1,e_csds,e,u_r_div_u_p,$u_r/u_p$,0.5045796878211182,0.5045796878211182,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_u_r_div_u_p.png
methodologie_2,LOW_2,e_csds,e,u_r_mm,$u_r$ (mm),-0.46285265070117987,0.46285265070117987,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_u_r_mm.png
methodologie_2,LOW_2,e_csds,e,u_r_x_tau_p,$u_r \tau_p$,-0.4478936097509252,0.4478936097509252,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_u_r_x_tau_p.png
methodologie_2,LOW_2,e_csds,e,u_r_x_u_p,$u_r u_p$,-0.40575626470054416,0.40575626470054416,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_u_r_x_u_p.png
methodologie_2,FULL,e_csds,e,u_p_div_u_r,$u_p/u_r$,-0.3893080743184069,0.3893080743184069,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_u_p_div_u_r.png
methodologie_2,FULL,e_csds,e,delta_peak_mm,$u_p$ (mm),-0.38928321942623734,0.38928321942623734,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_delta_peak_mm.png
methodologie_2,LOW_1,e_csds,e,u_p_div_u_r,$u_p/u_r$,-0.3832011277602398,0.3832011277602398,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_u_p_div_u_r.png
methodologie_2,LOW_1,e_csds,e,tau_p_div_u_r,$\tau_p/u_r$,0.3586325479500328,0.3586325479500328,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_tau_p_div_u_r.png
methodologie_2,HIGH,e_csds,e,u_r_x_u_p,$u_r u_p$,-0.35728708317857316,0.35728708317857316,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_u_r_x_u_p.png
methodologie_2,LOW_1,e_csds,e,delta_peak_mm,$u_p$ (mm),-0.33585061698678115,0.33585061698678115,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_delta_peak_mm.png
methodologie_2,LOW_1,e_csds,e,u_r_mm,$u_r$ (mm),-0.323031290233936,0.323031290233936,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_u_r_mm.png
methodologie_2,FULL,e_csds,e,u_r_mm,$u_r$ (mm),-0.2912674529376129,0.2912674529376129,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_u_r_mm.png
methodologie_2,HIGH,e_csds,e,tau_p_div_u_r,$\tau_p/u_r$,0.2683395096560528,0.2683395096560528,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_tau_p_div_u_r.png
methodologie_2,FULL,e_csds,e,tau_p_div_u_p,$\tau_p/u_p$,0.25694635522169906,0.25694635522169906,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_tau_p_div_u_p.png
methodologie_2,FULL,e_csds,e,u_r_x_u_p,$u_r u_p$,-0.23626523336523983,0.23626523336523983,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_u_r_x_u_p.png
methodologie_2,LOW_1,e_csds,e,u_r_x_u_p,$u_r u_p$,-0.22897161163922553,0.22897161163922553,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_u_r_x_u_p.png
methodologie_2,HIGH,e_csds,e,u_r_x_tau_p,$u_r \tau_p$,-0.21071367189594942,0.21071367189594942,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_u_r_x_tau_p.png
methodologie_2,HIGH,e_csds,e,u_r_mm,$u_r$ (mm),-0.1951977556102438,0.1951977556102438,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_u_r_mm.png
methodologie_2,FULL,e_csds,e,tau_r_div_u_p,$\tau_r/u_p$,0.17615751196326382,0.17615751196326382,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_tau_r_div_u_p.png
methodologie_2,FULL,e_csds,e,u_r_x_tau_p,$u_r \tau_p$,-0.16430933367789138,0.16430933367789138,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_u_r_x_tau_p.png
methodologie_2,FULL,e_csds,e,tau_r_div_tau_p,$\tau_r/\tau_p$,-0.15410434194351277,0.15410434194351277,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_tau_r_div_tau_p.png
methodologie_2,LOW_1,e_csds,e,u_r_x_tau_p,$u_r \tau_p$,-0.13073737392301976,0.13073737392301976,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_u_r_x_tau_p.png
methodologie_2,HIGH,e_csds,e,tau_r_div_tau_p,$\tau_r/\tau_p$,0.10816818444865385,0.10816818444865385,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/high/e_vs_tau_r_div_tau_p.png
methodologie_2,LOW_1,e_csds,e,tau_r_div_tau_p,$\tau_r/\tau_p$,-0.0991194678120379,0.0991194678120379,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_1/e_vs_tau_r_div_tau_p.png
methodologie_2,FULL,e_csds,e,tau_p_div_u_r,$\tau_p/u_r$,-0.08084335464966194,0.08084335464966194,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/full/e_vs_tau_p_div_u_r.png
methodologie_2,LOW_2,e_csds,e,tau_r_div_tau_p,$\tau_r/\tau_p$,-0.06973760281524623,0.06973760281524623,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_2/low_2/e_vs_tau_r_div_tau_p.png
